date,close,,,,,,,,,,
2022/8/18,42.5,,,,,,,,,,
2022/8/14,42.35,,,,,,,,,,
2022/8/7,42.15,,,,,,,,,,
2022/7/31,40.15,,,,,,,,,,
2022/7/24,42.45,,,,,,,,,,
2022/7/17,38.95,,,,,,,,,,
2022/7/10,39.7,,,,,,,,,,
2022/7/3,38.05,,,,,,,,,,
2022/6/26,41.6,,,,,,,,,,
2022/6/19,44.75,,,,,,,,,,
2022/6/12,48.08,,,,,,,,,,
2022/6/5,47.61,,,,,,,,,,
2022/5/29,47.15,,,,,,,,,,
2022/5/22,47.61,,,,,,,,,,
2022/5/15,45.88,,,,,,,,,,
2022/5/8,45.6,,,,,,,,,,
2022/5/1,44.89,,,,,,,,,,
2022/4/24,44.75,,,,,,,,,,
2022/4/17,44.19,,,,,,,,,,
2022/4/10,46.96,,,,,,,,,,
2022/4/3,49.68,,,,,,,,,,
2022/3/27,50.06,,,,,,,,,,
2022/3/20,49.59,,,,,,,,,,
2022/3/13,49.31,,,,,,,,,,
2022/3/6,50.15,,,,,,,,,,
2022/2/27,48.93,,,,,,,,,,
2022/2/20,50.43,,,,,,,,,,
2022/2/13,52.03,,,,,,,,,,
2022/2/6,53.81,,,,,,,,,,
2022/1/30,58.98,,,,,,,,,,
2022/1/23,58.88,,,,,,,,,,
2022/1/16,58.79,,,,,,,,,,
2022/1/9,61.04,,,,,,,,,,
2022/1/2,60.39,,,,,,,,,,
2021/12/26,58.51,,,,,,,,,,
2021/12/19,59.64,,,,,,,,,,
2021/12/12,64.14,,,,,,,,,,
2021/12/5,58.7,,,,,,,,,,
2021/11/28,61.14,,,,,,,,,,
2021/11/21,58.79,,,,,,,,,,
2021/11/14,56.72,,,,,,,,,,
2021/11/7,54.47,,,,,,,,,,
2021/10/31,54.75,,,,,,,,,,
2021/10/24,55.5,,,,,,,,,,
2021/10/17,57.38,,,,,,,,,,
2021/10/10,58.79,,,,,,,,,,
2021/10/3,62.92,,,,,,,,,,
2021/9/26,61.61,,,,,,,,,,
2021/9/19,64.05,,,,,,,,,,
2021/9/12,65.74,,,,,,,,,,
2021/9/5,57.95,,,,,,,,,,
2021/8/29,52.31,,,,,,,,,,
2021/8/22,54.09,,,,,,,,,,
2021/8/15,58.32,,,,,,,,,,
2021/8/8,54.28,,,,,,,,,,
2021/8/1,49.49,,,,,,,,,,
2021/7/25,48.84,,,,,,,,,,
2021/7/18,47.48,,,,,,,,,,
2021/7/11,47.84,,,,,,,,,,
2021/7/4,48.12,,,,,,,,,,
2021/6/27,47.48,,,,,,,,,,
2021/6/20,47.12,,,,,,,,,,
2021/6/13,48.21,,,,,,,,,,
2021/6/6,47.66,,,,,,,,,,
2021/5/30,42.7,,,,,,,,,,
2021/5/23,42.57,,,,,,,,,,
2021/5/16,49.12,,,,,,,,,,
2021/5/9,51.57,,,,,,,,,,
2021/5/2,51.85,,,,,,,,,,
2021/4/25,49.12,,,,,,,,,,
2021/4/18,48.21,,,,,,,,,,
2021/4/11,45.93,,,,,,,,,,
2021/4/4,45.25,,,,,,,,,,
2021/3/28,41.89,,,,,,,,,,
2021/3/21,44.66,,,,,,,,,,
2021/3/14,42.8,,,,,,,,,,
2021/3/7,49.3,,,,,,,,,,
