date,close
2019/9/8,34.27
2019/9/15,34.67
2019/9/22,35.35
2019/9/29,35.31
2019/10/6,35.19
2019/10/13,34.91
2019/10/20,33.9
2019/10/27,34.1
2019/11/3,35.07
2019/11/10,35.23
2019/11/17,34.75
2019/11/24,34.91
2019/12/1,36.08
2019/12/8,37.45
2019/12/15,36.64
2019/12/22,37.45
2019/12/29,38.22
2020/1/5,38.54
2020/1/12,38.46
2020/1/19,39.35
2020/1/26,39.18
2020/2/2,39.39
2020/2/9,39.26
2020/2/16,36.4
2020/2/23,36.93
2020/3/1,37.85
2020/3/8,37.29
2020/3/15,35.76
2020/3/22,35.19
2020/3/29,33.06
2020/4/5,31.61
2020/4/12,31.2
2020/4/19,31.12
2020/4/26,33.98
2020/5/3,35.07
2020/5/10,33.62
2020/5/17,35.39
2020/5/24,35.48
2020/5/31,35.44
2020/6/7,35.39
2020/6/14,35.11
2020/6/21,36.44
2020/6/28,35.52
2020/7/5,35.03
2020/7/12,35.03
2020/7/19,36.28
2020/7/26,37.33
2020/8/2,36.52
2020/8/9,36.08
2020/8/16,34.44
2020/8/23,35.39
2020/8/30,35.78
2020/9/6,37.42
2020/9/13,36.6
2020/9/20,35.95
2020/9/27,36.38
2020/10/4,36.81
2020/10/11,35.17
2020/10/18,35.78
2020/10/25,35.43
2020/11/1,34.96
2020/11/8,35.43
2020/11/15,35.48
2020/11/22,36.08
2020/11/29,37.67
2020/12/6,38.02
2020/12/13,38.02
2020/12/20,37.89
2020/12/27,37.16
2021/1/3,36.64
2021/1/10,36.81
2021/1/17,37.24
2021/1/24,37.46
2021/1/31,36.04
2021/2/7,35.13
2021/2/14,34.48
2021/2/21,35.26
2021/2/28,36.04
2021/3/7,36.77
2021/3/14,37.2
2021/3/21,37.85
2021/3/28,38.28
2021/4/4,40.09
2021/4/11,40.61
2021/4/18,40.26
2021/4/25,42.2
2021/5/2,43.28
2021/5/9,43.06
2021/5/16,43.36
2021/5/23,42.24
2021/5/30,43.62
2021/6/6,43.45
2021/6/13,44.31
2021/6/20,43.71
2021/6/27,43.45
2021/7/4,43.62
2021/7/11,43.54
2021/7/18,45.52
2021/7/25,44.83
2021/8/1,45.52
2021/8/8,44.66
2021/8/15,42.53
2021/8/22,42.11
2021/8/29,39.71
2021/9/5,40.82
2021/9/12,41.65
2021/9/19,41.51
2021/9/26,41.56
2021/10/3,42.9
2021/10/10,41.88
2021/10/17,42.34
2021/10/24,42.02
2021/10/31,41.42
2021/11/7,40.91
2021/11/14,41.37
2021/11/21,42.07
2021/11/28,41.6
2021/12/5,39.02
2021/12/12,39.48
2021/12/19,40.13
2021/12/26,39.66
2022/1/2,40.87
2022/1/9,40.91
2022/1/16,40.91
2022/1/23,41.19
2022/1/30,41.1
2022/2/6,40.82
2022/2/13,42.02
2022/2/20,42.25
2022/2/27,41.65
2022/3/6,42.48
2022/3/13,43.13
2022/3/20,44.24
2022/3/27,44.56
2022/4/3,44.33
2022/4/10,44.14
2022/4/17,43.31
2022/4/24,43.91
2022/5/1,44.42
2022/5/8,43.59
2022/5/15,41.6
2022/5/22,40.63
2022/5/29,41.74
2022/6/5,41
2022/6/12,40.77
2022/6/19,40.13
2022/6/26,40.27
2022/7/3,40.82
2022/7/10,40.5
2022/7/17,39.71
2022/7/24,41.42
2022/7/31,41.45
2022/8/7,40.95
2022/8/14,41.95
2022/8/17,42.8
