Date,Value
2018/1/2,10.10000038
2018/1/3,10.10000038
2018/1/4,10.10000038
2018/1/5,10.19999981
2018/1/8,10.35000038
2018/1/9,10.39999962
2018/1/10,10.64999962
2018/1/11,10.44999981
2018/1/12,10.5
2018/1/15,10.69999981
2018/1/16,10.75
2018/1/17,10.80000019
2018/1/18,10.89999962
2018/1/19,10.89999962
2018/1/22,10.85000038
2018/1/23,10.69999981
2018/1/24,10.75
2018/1/25,10.80000019
2018/1/26,10.75
2018/1/29,10.75
2018/1/30,10.69999981
2018/1/31,10.69999981
2018/2/1,10.64999962
2018/2/2,10.64999962
2018/2/5,10.5
2018/2/6,9.890000343
2018/2/7,10.10000038
2018/2/8,10.10000038
2018/2/9,10
2018/2/12,10.35000038
2018/2/21,10.5
2018/2/22,10.5
2018/2/23,10.64999962
2018/2/26,10.55000019
2018/2/27,10.5
2018/3/1,10.5
2018/3/2,10.39999962
2018/3/5,10.30000019
2018/3/6,10.39999962
2018/3/7,10.39999962
2018/3/8,10.39999962
2018/3/9,10.44999981
2018/3/12,10.60000038
2018/3/13,10.64999962
2018/3/14,10.5
2018/3/15,10.55000019
2018/3/16,10.64999962
2018/3/19,10.55000019
2018/3/20,10.5
2018/3/21,10.44999981
2018/3/22,10.44999981
2018/3/23,10.35000038
2018/3/26,10.30000019
2018/3/27,10.44999981
2018/3/28,10.35000038
2018/3/29,10.30000019
2018/3/30,10.39999962
2018/4/2,10.35000038
2018/4/3,10.35000038
2018/4/9,10.39999962
2018/4/10,10.55000019
2018/4/11,10.5
2018/4/12,10.55000019
2018/4/13,10.60000038
2018/4/16,10.44999981
2018/4/17,10.35000038
2018/4/18,10.44999981
2018/4/19,10.60000038
2018/4/20,10.75
2018/4/23,11.05000019
2018/4/24,11.05000019
2018/4/25,10.94999981
2018/4/26,10.94999981
2018/4/27,11
2018/4/30,11.25
2018/5/2,11.05000019
2018/5/3,11
2018/5/4,10.89999962
2018/5/7,10.94999981
2018/5/8,11.05000019
2018/5/9,11.14999962
2018/5/10,11.10000038
2018/5/11,11.19999981
2018/5/14,11.19999981
2018/5/15,11.19999981
2018/5/16,11.39999962
2018/5/17,11.35000038
2018/5/18,11.55000019
2018/5/21,11.64999962
2018/5/22,11.5
2018/5/23,11.39999962
2018/5/24,11.5
2018/5/25,11.55000019
2018/5/28,11.5
2018/5/29,11.35000038
2018/5/30,11.10000038
2018/5/31,11.25
2018/6/1,11.35000038
2018/6/4,11.39999962
2018/6/5,11.44999981
2018/6/6,11.44999981
2018/6/7,11.55000019
2018/6/8,11.5
2018/6/11,11.5
2018/6/12,11.35000038
2018/6/13,11.30000019
2018/6/14,11.14999962
2018/6/15,11.19999981
2018/6/19,11.05000019
2018/6/20,11.10000038
2018/6/21,11.10000038
2018/6/22,11.05000019
2018/6/25,11.30000019
2018/6/26,11.35000038
2018/6/27,11.14999962
2018/6/28,11.10000038
2018/6/29,11.14999962
2018/7/2,11.30000019
2018/7/3,11.35000038
2018/7/4,11.39999962
2018/7/5,11.35000038
2018/7/6,11.35000038
2018/7/9,11.39999962
2018/7/10,11.39999962
2018/7/11,11.44999981
2018/7/12,11
2018/7/13,11
2018/7/16,10.94999981
2018/7/17,11
2018/7/18,11.05000019
2018/7/19,10.94999981
2018/7/20,10.94999981
2018/7/23,11
2018/7/24,11.05000019
2018/7/25,11.19999981
2018/7/26,11.19999981
2018/7/27,11.14999962
2018/7/30,11.10000038
2018/7/31,11.19999981
2018/8/1,11.19999981
2018/8/2,11
2018/8/3,11.05000019
2018/8/6,10.94999981
2018/8/7,10.94999981
2018/8/8,11.05000019
2018/8/9,11
2018/8/10,11
2018/8/13,10.85000038
2018/8/14,10.89999962
2018/8/15,10.85000038
2018/8/16,10.94999981
2018/8/17,10.94999981
2018/8/20,10.85000038
2018/8/21,11
2018/8/22,10.94999981
2018/8/23,11
2018/8/24,11
2018/8/27,10.94999981
2018/8/28,11.05000019
2018/8/29,11.10000038
2018/8/30,10.94999981
2018/8/31,11.10000038
2018/9/3,11
2018/9/4,10.94999981
2018/9/5,10.80000019
2018/9/6,10.80000019
2018/9/7,10.80000019
2018/9/10,10.75
2018/9/11,10.80000019
2018/9/12,10.80000019
2018/9/13,10.85000038
2018/9/14,10.94999981
2018/9/17,10.89999962
2018/9/18,10.85000038
2018/9/19,11
2018/9/20,10.94999981
2018/9/21,11.10000038
2018/9/25,11.14999962
2018/9/26,11.25
2018/9/27,11.44999981
2018/9/28,11.39999962
2018/10/1,11.39999962
2018/10/2,11.19999981
2018/10/3,11.14999962
2018/10/4,11
2018/10/5,10.94999981
2018/10/8,10.89999962
2018/10/9,10.85000038
2018/10/11,10.19999981
2018/10/12,10.35000038
2018/10/15,10.25
2018/10/16,10.19999981
2018/10/17,10.19999981
2018/10/18,10.10000038
2018/10/19,10
2018/10/22,10.05000019
2018/10/23,9.93999958
2018/10/24,9.760000229
2018/10/25,9.510000229
2018/10/26,9.550000191
2018/10/29,9.600000381
2018/10/30,9.760000229
2018/10/31,9.930000305
2018/11/1,9.899999619
2018/11/2,9.960000038
2018/11/5,9.949999809
2018/11/6,9.930000305
2018/11/7,10.10000038
2018/11/8,10.14999962
2018/11/9,10.10000038
2018/11/12,10.05000019
2018/11/13,10
2018/11/14,10
2018/11/15,10.05000019
2018/11/16,10.10000038
2018/11/19,10.05000019
2018/11/20,10
2018/11/21,10.05000019
2018/11/22,9.979999542
2018/11/23,10
2018/11/26,9.960000038
2018/11/27,9.989999771
2018/11/28,10.05000019
2018/11/29,9.989999771
2018/11/30,10
2018/12/3,10.14999962
2018/12/4,10.14999962
2018/12/5,10.05000019
2018/12/6,9.970000267
2018/12/7,10.05000019
2018/12/10,9.909999847
2018/12/11,10
2018/12/12,9.930000305
2018/12/13,9.989999771
2018/12/14,9.949999809
2018/12/17,9.920000076
2018/12/18,9.710000038
2018/12/19,9.75
2018/12/20,9.630000114
2018/12/21,9.770000458
2018/12/24,9.760000229
2018/12/25,9.619999886
2018/12/26,9.609999657
2018/12/27,9.760000229
2018/12/28,9.720000267
2019/1/2,9.680000305
2019/1/3,9.630000114
2019/1/4,9.449999809
2019/1/7,9.75
2019/1/8,9.699999809
2019/1/9,9.899999619
2019/1/10,9.899999619
2019/1/11,9.909999847
2019/1/14,9.81000042
2019/1/15,9.930000305
2019/1/16,9.909999847
2019/1/17,9.840000153
2019/1/18,9.909999847
2019/1/21,9.949999809
2019/1/22,9.899999619
2019/1/23,9.81000042
2019/1/24,9.920000076
2019/1/25,9.970000267
2019/1/28,9.970000267
2019/1/29,10
2019/1/30,9.979999542
2019/2/11,9.909999847
2019/2/12,9.899999619
2019/2/13,9.93999958
2019/2/14,9.859999657
2019/2/15,9.859999657
2019/2/18,9.920000076
2019/2/19,9.970000267
2019/2/20,10
2019/2/21,10
2019/2/22,9.989999771
2019/2/25,10
2019/2/26,9.970000267
2019/2/27,9.970000267
2019/3/4,9.93999958
2019/3/5,9.899999619
2019/3/6,9.909999847
2019/3/7,9.949999809
2019/3/8,9.920000076
2019/3/11,9.899999619
2019/3/12,9.989999771
2019/3/13,10
2019/3/14,9.949999809
2019/3/15,10.05000019
2019/3/18,10.10000038
2019/3/19,10.14999962
2019/3/20,10.19999981
2019/3/21,10.19999981
2019/3/22,10.19999981
2019/3/25,10
2019/3/26,10.10000038
2019/3/27,10.05000019
2019/3/28,10.14999962
2019/3/29,10.30000019
2019/4/1,10.05000019
2019/4/2,10.05000019
2019/4/3,10.10000038
2019/4/8,10.05000019
2019/4/9,10.05000019
2019/4/10,10.05000019
2019/4/11,10.05000019
2019/4/12,10.10000038
2019/4/15,10
2019/4/16,10.05000019
2019/4/17,10
2019/4/18,10
2019/4/19,10
2019/4/22,9.989999771
2019/4/23,9.989999771
2019/4/24,9.970000267
2019/4/25,9.960000038
2019/4/26,9.960000038
2019/4/29,10.05000019
2019/4/30,9.949999809
2019/5/2,9.909999847
2019/5/3,9.920000076
2019/5/6,9.81000042
2019/5/7,9.75
2019/5/8,9.649999619
2019/5/9,9.5
2019/5/10,9.479999542
2019/5/13,9.479999542
2019/5/14,9.210000038
2019/5/15,9.229999542
2019/5/16,9.029999733
2019/5/17,9.050000191
2019/5/20,9.159999847
2019/5/21,9.420000076
2019/5/22,9.300000191
2019/5/23,9.199999809
2019/5/24,9.199999809
2019/5/27,9.229999542
2019/5/28,9.140000343
2019/5/29,9.100000381
2019/5/30,9.239999771
2019/5/31,9.300000191
2019/6/3,9.25
2019/6/4,9.300000191
2019/6/5,9.329999924
2019/6/6,9.449999809
2019/6/10,9.529999733
2019/6/11,9.430000305
2019/6/12,9.369999886
2019/6/13,9.270000458
2019/6/14,9.270000458
2019/6/17,9.31000042
2019/6/18,9.359999657
2019/6/19,9.470000267
2019/6/20,9.5
2019/6/21,9.460000038
2019/6/24,9.529999733
2019/6/25,9.539999962
2019/6/26,9.5
2019/6/27,9.5
2019/6/28,9.470000267
2019/7/1,9.5
2019/7/2,9.550000191
2019/7/3,9.5
2019/7/4,9.319999695
2019/7/5,9.319999695
2019/7/8,9.329999924
2019/7/9,9.279999733
2019/7/10,9.289999962
2019/7/11,9.479999542
2019/7/12,9.409999847
2019/7/15,9.399999619
2019/7/16,9.430000305
2019/7/17,9.369999886
2019/7/18,9.329999924
2019/7/19,9.319999695
2019/7/22,9.319999695
2019/7/23,9.260000229
2019/7/24,9.270000458
2019/7/25,9.25
2019/7/26,9.319999695
2019/7/29,9.350000381
2019/7/30,9.369999886
2019/7/31,9.279999733
2019/8/1,9.220000267
2019/8/2,9.149999619
2019/8/5,9.079999924
2019/8/6,9.020000458
2019/8/7,8.989999771
2019/8/8,9.06000042
2019/8/12,9.119999886
2019/8/13,9.06000042
2019/8/14,9.06000042
