date,close
2019/9/8,18.95
2019/9/15,19.18
2019/9/22,19.37
2019/9/29,20.05
2019/10/6,20.36
2019/10/13,19.94
2019/10/20,19.86
2019/10/27,19.94
2019/11/3,20.05
2019/11/10,20.28
2019/11/17,20.89
2019/11/24,20.97
2019/12/1,20.7
2019/12/8,20.74
2019/12/15,20.55
2019/12/22,20.62
2019/12/29,20.93
2020/1/5,21.08
2020/1/12,21.23
2020/1/19,21.27
2020/1/26,21.35
2020/2/2,22.03
2020/2/9,22.26
2020/2/16,21.35
2020/2/23,21.8
2020/3/1,21.95
2020/3/8,22.67
2020/3/15,22.07
2020/3/22,22.1
2020/3/29,20.13
2020/4/5,16.71
2020/4/12,18.38
2020/4/19,18.42
2020/4/26,19.64
2020/5/3,19.98
2020/5/10,19.52
2020/5/17,20.74
2020/5/24,20.4
2020/5/31,20.47
2020/6/7,20.32
2020/6/14,20.24
2020/6/21,21.27
2020/6/28,21
2020/7/5,21.12
2020/7/12,21.23
2020/7/19,21.35
2020/7/26,21.5
2020/8/2,22.14
2020/8/9,21.99
2020/8/16,22.83
2020/8/23,22.66
2020/8/30,22.71
2020/9/6,23.09
2020/9/13,22.92
2020/9/20,22.45
2020/9/27,22.5
2020/10/4,22.24
2020/10/11,21.32
2020/10/18,21.57
2020/10/25,21.36
2020/11/1,20.98
2020/11/8,20.85
2020/11/15,20.47
2020/11/22,21.32
2020/11/29,21.99
2020/12/6,21.36
2020/12/13,21.44
2020/12/20,21.4
2020/12/27,21.15
2021/1/3,21.19
2021/1/10,21.06
2021/1/17,21.53
2021/1/24,21.49
2021/1/31,21.06
2021/2/7,20.47
2021/2/14,19.88
2021/2/21,20.31
2021/2/28,20.98
2021/3/7,21.27
2021/3/14,21.11
2021/3/21,21.86
2021/3/28,21.95
2021/4/4,22.07
2021/4/11,21.99
2021/4/18,22.03
2021/4/25,22.71
2021/5/2,22.58
2021/5/9,22.71
2021/5/16,22.45
2021/5/23,21.53
2021/5/30,21.44
2021/6/6,21.4
2021/6/13,21.86
2021/6/20,21.74
2021/6/27,21.49
2021/7/4,22.03
2021/7/11,21.91
2021/7/18,22.07
2021/7/25,22.33
2021/8/1,22.41
2021/8/8,22.33
2021/8/15,22.62
2021/8/22,22.71
2021/8/29,22.62
2021/9/5,23.34
2021/9/12,24.06
2021/9/19,24.06
2021/9/26,24.01
2021/10/3,24.06
2021/10/10,23.88
2021/10/17,23.79
2021/10/24,23.97
2021/10/31,24.2
2021/11/7,24.29
2021/11/14,24.52
2021/11/21,25.25
2021/11/28,25.29
2021/12/5,25.25
2021/12/12,25.48
2021/12/19,25.57
2021/12/26,25.61
2022/1/2,25.57
2022/1/9,25.66
2022/1/16,26.48
2022/1/23,26.99
2022/1/30,26.39
2022/2/6,26.53
2022/2/13,27.81
2022/2/20,27.76
2022/2/27,26.94
2022/3/6,27.17
2022/3/13,27.4
2022/3/20,28.41
2022/3/27,29.09
2022/4/3,30.19
2022/4/10,31.88
2022/4/17,30.46
2022/4/24,30.19
2022/5/1,30.97
2022/5/8,29.09
2022/5/15,26.94
2022/5/22,26.44
2022/5/29,26.9
2022/6/5,27.03
2022/6/12,26.67
2022/6/19,26.62
2022/6/26,27.12
2022/7/3,26.62
2022/7/10,25.89
2022/7/17,24.88
2022/7/24,26.58
2022/7/31,27.5
2022/8/7,27.55
2022/8/14,28.45
2022/8/16,28.3
