date,close,,,,,,,,,,,,,,,,,,,,,
2019/9/8,46.43,,,,,,,,,,,,,,,,,,,,,
2019/9/15,46.84,,,,,,,,,,,,,,,,,,,,,
2019/9/22,46.76,,,,,,,,,,,,,,,,,,,,,
2019/9/29,46.84,,,,,,,,,,,,,,,,,,,,,
2019/10/6,47.09,,,,,,,,,,,,,,,,,,,,,
2019/10/13,46.93,,,,,,,,,,,,,,,,,,,,,
2019/10/20,45.27,,,,,,,,,,,,,,,,,,,,,
2019/10/27,45.1,,,,,,,,,,,,,,,,,,,,,
2019/11/3,45.1,,,,,,,,,,,,,,,,,,,,,
2019/11/10,48.17,,,,,,,,,,,,,,,,,,,,,
2019/11/17,49.66,,,,,,,,,,,,,,,,,,,,,
2019/11/24,51.24,,,,,,,,,,,,,,,,,,,,,
2019/12/1,52.07,,,,,,,,,,,,,,,,,,,,,
2019/12/8,52.4,,,,,,,,,,,,,,,,,,,,,
2019/12/15,49.99,,,,,,,,,,,,,,,,,,,,,
2019/12/22,50.74,,,,,,,,,,,,,,,,,,,,,
2019/12/29,51.57,,,,,,,,,,,,,,,,,,,,,
2020/1/5,53.06,,,,,,,,,,,,,,,,,,,,,
2020/1/12,53.56,,,,,,,,,,,,,,,,,,,,,
2020/1/19,53.23,,,,,,,,,,,,,,,,,,,,,
2020/1/26,53.06,,,,,,,,,,,,,,,,,,,,,
2020/2/2,53.89,,,,,,,,,,,,,,,,,,,,,
2020/2/9,53.89,,,,,,,,,,,,,,,,,,,,,
2020/2/16,51.4,,,,,,,,,,,,,,,,,,,,,
2020/2/23,52.81,,,,,,,,,,,,,,,,,,,,,
2020/3/1,53.06,,,,,,,,,,,,,,,,,,,,,
2020/3/8,52.23,,,,,,,,,,,,,,,,,,,,,
2020/3/15,51.4,,,,,,,,,,,,,,,,,,,,,
2020/3/22,51.24,,,,,,,,,,,,,,,,,,,,,
2020/3/29,50.24,,,,,,,,,,,,,,,,,,,,,
2020/4/5,45.43,,,,,,,,,,,,,,,,,,,,,
2020/4/12,49.91,,,,,,,,,,,,,,,,,,,,,
2020/4/19,49.5,,,,,,,,,,,,,,,,,,,,,
2020/4/26,51.24,,,,,,,,,,,,,,,,,,,,,
2020/5/3,52.07,,,,,,,,,,,,,,,,,,,,,
2020/5/10,51.73,,,,,,,,,,,,,,,,,,,,,
2020/5/17,53.81,,,,,,,,,,,,,,,,,,,,,
2020/5/24,53.81,,,,,,,,,,,,,,,,,,,,,
2020/5/31,54.06,,,,,,,,,,,,,,,,,,,,,
2020/6/7,56.96,,,,,,,,,,,,,,,,,,,,,
2020/6/14,58.04,,,,,,,,,,,,,,,,,,,,,
2020/6/21,59.69,,,,,,,,,,,,,,,,,,,,,
2020/6/28,56.21,,,,,,,,,,,,,,,,,,,,,
2020/7/5,57.7,,,,,,,,,,,,,,,,,,,,,
2020/7/12,58.78,,,,,,,,,,,,,,,,,,,,,
2020/7/19,61.35,,,,,,,,,,,,,,,,,,,,,
2020/7/26,63.84,,,,,,,,,,,,,,,,,,,,,
2020/8/2,64.67,,,,,,,,,,,,,,,,,,,,,
2020/8/9,66.24,,,,,,,,,,,,,,,,,,,,,
2020/8/16,67.82,,,,,,,,,,,,,,,,,,,,,
2020/8/23,66,,,,,,,,,,,,,,,,,,,,,
2020/8/30,70.34,,,,,,,,,,,,,,,,,,,,,
2020/9/6,67.65,,,,,,,,,,,,,,,,,,,,,
2020/9/13,67.04,,,,,,,,,,,,,,,,,,,,,
2020/9/20,66.69,,,,,,,,,,,,,,,,,,,,,
2020/9/27,66.34,,,,,,,,,,,,,,,,,,,,,
2020/10/4,67.82,,,,,,,,,,,,,,,,,,,,,
2020/10/11,63.74,,,,,,,,,,,,,,,,,,,,,
2020/10/18,65.65,,,,,,,,,,,,,,,,,,,,,
2020/10/25,65.04,,,,,,,,,,,,,,,,,,,,,
2020/11/1,63.56,,,,,,,,,,,,,,,,,,,,,
2020/11/8,62.26,,,,,,,,,,,,,,,,,,,,,
2020/11/15,62.52,,,,,,,,,,,,,,,,,,,,,
2020/11/22,64.08,,,,,,,,,,,,,,,,,,,,,
2020/11/29,62.09,,,,,,,,,,,,,,,,,,,,,
2020/12/6,66.43,,,,,,,,,,,,,,,,,,,,,
2020/12/13,67.47,,,,,,,,,,,,,,,,,,,,,
2020/12/20,68.6,,,,,,,,,,,,,,,,,,,,,
2020/12/27,70.42,,,,,,,,,,,,,,,,,,,,,
2021/1/3,68.51,,,,,,,,,,,,,,,,,,,,,
2021/1/10,69.29,,,,,,,,,,,,,,,,,,,,,
2021/1/17,70.25,,,,,,,,,,,,,,,,,,,,,
2021/1/24,73.46,,,,,,,,,,,,,,,,,,,,,
2021/1/31,73.81,,,,,,,,,,,,,,,,,,,,,
2021/2/7,71.55,,,,,,,,,,,,,,,,,,,,,
2021/2/14,70.08,,,,,,,,,,,,,,,,,,,,,
2021/2/21,73.9,,,,,,,,,,,,,,,,,,,,,
2021/2/28,76.59,,,,,,,,,,,,,,,,,,,,,
2021/3/7,73.81,,,,,,,,,,,,,,,,,,,,,
2021/3/14,74.24,,,,,,,,,,,,,,,,,,,,,
2021/3/21,76.85,,,,,,,,,,,,,,,,,,,,,
2021/3/28,77.63,,,,,,,,,,,,,,,,,,,,,
2021/4/4,81.63,,,,,,,,,,,,,,,,,,,,,
2021/4/11,85.97,,,,,,,,,,,,,,,,,,,,,
2021/4/18,85.01,,,,,,,,,,,,,,,,,,,,,
2021/4/25,85.01,,,,,,,,,,,,,,,,,,,,,
2021/5/2,84.75,,,,,,,,,,,,,,,,,,,,,
2021/5/9,85.45,,,,,,,,,,,,,,,,,,,,,
2021/5/16,82.84,,,,,,,,,,,,,,,,,,,,,
2021/5/23,78.41,,,,,,,,,,,,,,,,,,,,,
2021/5/30,77.11,,,,,,,,,,,,,,,,,,,,,
2021/6/6,76.33,,,,,,,,,,,,,,,,,,,,,
2021/6/13,75.63,,,,,,,,,,,,,,,,,,,,,
2021/6/20,74.68,,,,,,,,,,,,,,,,,,,,,
2021/6/27,75.55,,,,,,,,,,,,,,,,,,,,,
2021/7/4,75.81,,,,,,,,,,,,,,,,,,,,,
2021/7/11,77.2,,,,,,,,,,,,,,,,,,,,,
2021/7/18,78.59,,,,,,,,,,,,,,,,,,,,,
2021/7/25,79.37,,,,,,,,,,,,,,,,,,,,,
2021/8/1,77.63,,,,,,,,,,,,,,,,,,,,,
2021/8/8,71.27,,,,,,,,,,,,,,,,,,,,,
2021/8/15,71.09,,,,,,,,,,,,,,,,,,,,,
2021/8/22,67.95,,,,,,,,,,,,,,,,,,,,,
2021/8/29,69.7,,,,,,,,,,,,,,,,,,,,,
2021/9/5,70.81,,,,,,,,,,,,,,,,,,,,,
2021/9/12,71.36,,,,,,,,,,,,,,,,,,,,,
2021/9/19,69.06,,,,,,,,,,,,,,,,,,,,,
2021/9/26,71.82,,,,,,,,,,,,,,,,,,,,,
2021/10/3,72.28,,,,,,,,,,,,,,,,,,,,,
2021/10/10,70.99,,,,,,,,,,,,,,,,,,,,,
2021/10/17,72.38,,,,,,,,,,,,,,,,,,,,,
2021/10/24,72.28,,,,,,,,,,,,,,,,,,,,,
2021/10/31,72.19,,,,,,,,,,,,,,,,,,,,,
2021/11/7,71.91,,,,,,,,,,,,,,,,,,,,,
2021/11/14,73.76,,,,,,,,,,,,,,,,,,,,,
2021/11/21,76.52,,,,,,,,,,,,,,,,,,,,,
2021/11/28,80.12,,,,,,,,,,,,,,,,,,,,,
2021/12/5,79.84,,,,,,,,,,,,,,,,,,,,,
2021/12/12,80.95,,,,,,,,,,,,,,,,,,,,,
2021/12/19,82.33,,,,,,,,,,,,,,,,,,,,,
2021/12/26,81.96,,,,,,,,,,,,,,,,,,,,,
2022/1/2,83.44,,,,,,,,,,,,,,,,,,,,,
2022/1/9,87.31,,,,,,,,,,,,,,,,,,,,,
2022/1/16,85.74,,,,,,,,,,,,,,,,,,,,,
2022/1/23,85.28,,,,,,,,,,,,,,,,,,,,,
2022/1/30,85.65,,,,,,,,,,,,,,,,,,,,,
2022/2/6,85.65,,,,,,,,,,,,,,,,,,,,,
2022/2/13,86.48,,,,,,,,,,,,,,,,,,,,,
2022/2/20,86.94,,,,,,,,,,,,,,,,,,,,,
2022/2/27,85.65,,,,,,,,,,,,,,,,,,,,,
2022/3/6,85.65,,,,,,,,,,,,,,,,,,,,,
2022/3/13,84.82,,,,,,,,,,,,,,,,,,,,,
2022/3/20,85.28,,,,,,,,,,,,,,,,,,,,,
2022/3/27,84.36,,,,,,,,,,,,,,,,,,,,,
2022/4/3,79.75,,,,,,,,,,,,,,,,,,,,,
2022/4/10,79.2,,,,,,,,,,,,,,,,,,,,,
2022/4/17,79.2,,,,,,,,,,,,,,,,,,,,,
2022/4/24,77.91,,,,,,,,,,,,,,,,,,,,,
2022/5/1,77.26,,,,,,,,,,,,,,,,,,,,,
2022/5/8,78.92,,,,,,,,,,,,,,,,,,,,,
2022/5/15,75.7,,,,,,,,,,,,,,,,,,,,,
2022/5/22,68.69,,,,,,,,,,,,,,,,,,,,,
2022/5/29,71.18,,,,,,,,,,,,,,,,,,,,,
2022/6/5,72.93,,,,,,,,,,,,,,,,,,,,,
2022/6/12,74.13,,,,,,,,,,,,,,,,,,,,,
2022/6/19,74.68,,,,,,,,,,,,,,,,,,,,,
2022/6/26,74.13,,,,,,,,,,,,,,,,,,,,,
2022/7/3,73.11,,,,,,,,,,,,,,,,,,,,,
2022/7/10,70.26,,,,,,,,,,,,,,,,,,,,,
2022/7/17,73.48,,,,,,,,,,,,,,,,,,,,,
2022/7/24,76.52,,,,,,,,,,,,,,,,,,,,,
2022/7/31,78,,,,,,,,,,,,,,,,,,,,,
2022/8/7,79.1,,,,,,,,,,,,,,,,,,,,,
2022/8/14,80.9,,,,,,,,,,,,,,,,,,,,,
